日期,測站,測項,4,5,6,7,8,9
2014/1/5,豐原,NMHC,0.21,0.16,0.1,0.08,0.13,0.14
2014/1/5,豐原,NO,1,1,0.8,1.1,1.8,2.5
2014/1/5,豐原,NO2,6.1,6.3,6.8,6,13,11
2014/1/5,豐原,NOx,7.1,7.3,7.6,7.1,14,14
2014/1/5,豐原,O3,40,40,43,43,32,35
2014/1/5,豐原,PM10,85,96,105,98,83,65
2014/1/5,豐原,PM2.5,75,66,70,65,66,57
2014/1/5,豐原,RAINFALL,NR,NR,NR,NR,NR,NR
2014/1/5,豐原,RH,66,64,60,56,59,52
2014/1/5,豐原,SO2,4.5,4.5,4.8,4.3,3.4,2.9
2014/1/5,豐原,THC,2.1,2,1.9,1.9,2,2
2014/1/5,豐原,WD_HR,334,31,58,58,69,82
2014/1/5,豐原,WIND_DIREC,57,24,54,60,76,92
2014/1/5,豐原,WIND_SPEED,2,1.6,3.4,1.6,1.6,2.2
2014/1/5,豐原,WS_HR,0.5,0.4,1.6,1.2,0.7,0.5
2014/1/6,豐原,AMB_TEMP,14,15,14,14,16,16
2014/1/6,豐原,CH4,1.8,1.8,1.8,1.8,1.9,1.9
2014/1/6,豐原,CO,0.41,0.39,0.4,0.57,1.35,1.25
2014/1/6,豐原,NMHC,0.11,0.08,0.09,0.14,0.53,0.73
2014/1/6,豐原,NO,0.8,0.6,0.7,1.7,20,29
2014/1/6,豐原,NO2,6.3,5.8,11,11,36,43
2014/1/6,豐原,NOx,7.1,6.4,12,13,57,71
2014/1/6,豐原,O3,43,45,31,31,9.4,5.7
2014/1/6,豐原,PM10,48,52,38,37,45,70
2014/1/6,豐原,PM2.5,46,42,35,35,40,45
2014/1/6,豐原,RAINFALL,NR,NR,NR,NR,NR,NR
2014/1/6,豐原,RH,64,58,60,60,58,58
2014/1/6,豐原,SO2,2,1.7,2.1,1.4,5.6,5.4
2014/1/6,豐原,THC,1.9,1.9,1.9,1.9,2.4,2.6
2014/1/6,豐原,WD_HR,97,102,89,108,102,331
2014/1/6,豐原,WIND_DIREC,118,158,116,98,93,298
2014/1/6,豐原,WIND_SPEED,2.2,1.6,3.3,1.9,0.8,1.1
2014/1/6,豐原,WS_HR,1.6,1.6,1.3,2.2,0.4,0.4
2014/1/7,豐原,AMB_TEMP,14,14,14,14,16,18
2014/1/7,豐原,CH4,1.8,1.8,1.8,1.8,1.8,1.8
2014/1/7,豐原,CO,0.3,0.31,0.37,0.71,0.97,0.7
2014/1/7,豐原,NMHC,0.07,0.08,0.2,0.22,0.37,0.31
2014/1/7,豐原,NO,0.8,0.8,1.1,7.4,20,5.1
2014/1/7,豐原,NO2,3.3,4.4,6.7,15,23,20
2014/1/7,豐原,NOx,4.1,5.2,7.7,23,43,25
2014/1/7,豐原,O3,33,31,27,21,18,30
2014/1/7,豐原,PM10,45,43,44,34,40,39
2014/1/7,豐原,PM2.5,33,25,36,28,33,29
2014/1/7,豐原,RAINFALL,NR,NR,NR,NR,NR,NR
2014/1/7,豐原,RH,68,69,69,67,64,53
2014/1/7,豐原,SO2,1.6,1.4,1.5,2.5,6,15
2014/1/7,豐原,THC,1.8,1.8,2,2,2.2,2.1
2014/1/7,豐原,WD_HR,109,112,108,116,66,36
2014/1/7,豐原,WIND_DIREC,110,113,107,89,36,146
2014/1/7,豐原,WIND_SPEED,1.3,1.6,2.5,1.6,0.8,0.7
2014/1/7,豐原,WS_HR,2.1,1.8,1.9,1.6,1,0.4
2014/1/8,豐原,AMB_TEMP,15,15,15,16,18,21
2014/1/8,豐原,CH4,1.8,1.8,1.8,1.8,1.8,1.8
2014/1/8,豐原,CO,0.36,0.37,0.46,0.63,1.27,0.49
2014/1/8,豐原,NMHC,0.1,0.13,0.17,0.24,0.52,0.18
2014/1/8,豐原,NO,1.1,1.2,1.9,5.5,28,4.4
2014/1/8,豐原,NO2,5.8,9.4,15,17,34,18
2014/1/8,豐原,NOx,6.9,11,17,22,63,23
2014/1/8,豐原,O3,51,39,28,23,11,43
2014/1/8,豐原,PM10,85,68,48,38,49,61
2014/1/8,豐原,PM2.5,52,47,45,50,43,40
2014/1/8,豐原,RAINFALL,NR,NR,NR,NR,NR,NR
2014/1/8,豐原,RH,73,72,73,71,63,50
2014/1/8,豐原,SO2,2.9,5.4,6,2.6,7.3,7.6
2014/1/8,豐原,THC,1.9,1.9,2,2,2.3,1.9
2014/1/8,豐原,WD_HR,109,95,94,103,74,24
2014/1/8,豐原,WIND_DIREC,99,101,67,56,63,53
2014/1/8,豐原,WIND_SPEED,1.4,1.4,1.1,1.4,1,1.5
2014/1/8,豐原,WS_HR,1.7,1,0.8,1.3,0.4,0.7
2014/1/9,豐原,AMB_TEMP,12,12,12,13,13,14
2014/1/9,豐原,CH4,1.8,1.8,1.8,1.8,1.8,1.8
2014/1/9,豐原,CO,0.38,0.36,0.36,0.4,0.39,0.4
2014/1/9,豐原,NMHC,0.07,0.07,0.08,0.08,0.07,0.09
2014/1/9,豐原,NO,1.3,1.2,1,1.3,1.4,2.2
2014/1/9,豐原,NO2,5,5.4,6.8,6.9,5.7,6.8
2014/1/9,豐原,NOx,6.3,6.7,7.8,8.2,7.1,9
2014/1/9,豐原,O3,33,35,34,33,34,31
2014/1/9,豐原,PM10,16,28,29,27,21,31
2014/1/9,豐原,PM2.5,14,15,20,16,23,16
2014/1/9,豐原,RAINFALL,NR,NR,NR,NR,NR,NR
2014/1/9,豐原,RH,73,72,72,72,70,69
2014/1/9,豐原,SO2,1.7,1.8,2.2,1.8,1.6,1.7
2014/1/9,豐原,THC,1.8,1.8,1.9,1.9,1.8,1.9
2014/1/9,豐原,WD_HR,58,69,65,59,62,74
2014/1/9,豐原,WIND_DIREC,69,81,52,50,72,80
2014/1/9,豐原,WIND_SPEED,2.2,2.4,3.4,3.8,3.7,2.1
2014/1/9,豐原,WS_HR,1.8,1.4,1.8,2.5,3.6,1.4
2014/1/10,豐原,AMB_TEMP,13,13,13,13,14,15
2014/1/10,豐原,CH4,1.8,1.8,1.8,1.8,1.8,1.8
2014/1/10,豐原,CO,0.25,0.27,0.3,0.46,0.41,0.34
2014/1/10,豐原,NMHC,0.04,0.09,0.07,0.15,0.14,0.11
2014/1/10,豐原,NO,1.2,1.3,1.3,3.5,4.2,4.4
2014/1/10,豐原,NO2,2.8,4,6.5,13,12,7.3
2014/1/10,豐原,NOx,4,5.3,7.8,17,16,12
2014/1/10,豐原,O3,28,25,19,13,14,22
2014/1/10,豐原,PM10,4,4,5,1,6,10
2014/1/10,豐原,PM2.5,0,1,1,7,7,8
2014/1/10,豐原,RAINFALL,NR,NR,NR,NR,NR,NR
2014/1/10,豐原,RH,74,74,74,73,71,66
2014/1/10,豐原,SO2,1.1,1,1,1.1,1.1,1.2
2014/1/10,豐原,THC,1.8,1.9,1.8,1.9,1.9,1.9
2014/1/10,豐原,WD_HR,63,49,52,11,73,67
2014/1/10,豐原,WIND_DIREC,62,58,28,335,67,22
2014/1/10,豐原,WIND_SPEED,2.3,1.6,0.9,2,2,2
2014/1/10,豐原,WS_HR,2,0.7,1,0.3,0.8,0.7
2014/1/11,豐原,AMB_TEMP,13,12,12,12,15,18
2014/1/11,豐原,CH4,1.8,1.8,1.8,1.8,1.8,1.8
2014/1/11,豐原,CO,0.34,0.35,0.38,0.46,0.95,0.71
2014/1/11,豐原,NMHC,0.12,0.11,0.12,0.14,0.41,0.34
2014/1/11,豐原,NO,0.8,0.9,1.1,2,26,12
2014/1/11,豐原,NO2,5.7,5.3,6.5,7.5,24,23
2014/1/11,豐原,NOx,6.5,6.2,7.6,9.4,50,35
2014/1/11,豐原,O3,22,21,16,16,6.3,22
2014/1/11,豐原,PM10,37,40,23,14,18,27
2014/1/11,豐原,PM2.5,23,18,20,14,7,17
2014/1/11,豐原,RAINFALL,NR,NR,NR,NR,NR,NR
2014/1/11,豐原,RH,87,88,86,83,73,63
2014/1/11,豐原,SO2,1.4,1.2,1.1,1.1,2.9,2.5
2014/1/11,豐原,THC,1.9,1.9,1.9,1.9,2.2,2.1
2014/1/11,豐原,WD_HR,105,101,100,90,20,45
2014/1/11,豐原,WIND_DIREC,99,111,100,69,345,44
2014/1/11,豐原,WIND_SPEED,1.9,2.1,2.1,1.1,0.6,1.7
2014/1/11,豐原,WS_HR,2,1.9,2,1.7,0.4,0.5
2014/1/12,豐原,AMB_TEMP,16,16,15,14,15,17
2014/1/12,豐原,CH4,1.8,1.8,1.8,1.8,1.8,1.8
2014/1/12,豐原,CO,0.33,0.3,0.36,0.52,0.59,0.34
2014/1/12,豐原,NMHC,0.12,0.09,0.13,0.17,0.19,0.12
2014/1/12,豐原,NO,1.2,1.3,1.3,4.9,12,3
2014/1/12,豐原,NO2,7.7,5.7,9.6,19,18,8.4
2014/1/12,豐原,NOx,8.9,7,11,24,30,11
2014/1/12,豐原,O3,30,37,26,10,12,33
2014/1/12,豐原,PM10,78,56,45,38,31,40
2014/1/12,豐原,PM2.5,40,32,37,31,34,32
2014/1/12,豐原,RAINFALL,NR,NR,NR,NR,NR,NR
2014/1/12,豐原,RH,81,77,77,79,74,71
2014/1/12,豐原,SO2,1.5,1.3,1.2,1.2,1.5,2.1
2014/1/12,豐原,THC,1.9,1.8,1.9,1.9,2,1.9
2014/1/12,豐原,WD_HR,88,99,44,50,42,314
2014/1/12,豐原,WIND_DIREC,103,118,47,46,41,304
2014/1/12,豐原,WIND_SPEED,2.9,1.4,1.9,1.4,1.6,3.5
2014/1/12,豐原,WS_HR,1.7,2.2,0.5,0.9,0.6,1.6
2014/1/13,豐原,AMB_TEMP,14,14,13,13,14,15
2014/1/13,豐原,CH4,1.8,1.8,1.8,1.8,1.8,1.8
2014/1/13,豐原,CO,0.3,0.3,0.33,0.43,0.39,0.37
2014/1/13,豐原,NMHC,0.05,0.05,0.07,0.1,0.08,0.12
2014/1/13,豐原,NO,0.5,0.8,0.5,0.9,1.2,1.6
2014/1/13,豐原,NO2,3.9,3.9,5.6,8,7.5,5.8
2014/1/13,豐原,NOx,4.3,4.6,6,8.9,8.7,7.4
2014/1/13,豐原,O3,33,32,30,28,30,32
2014/1/13,豐原,PM10,38,33,25,25,26,25
2014/1/13,豐原,PM2.5,18,16,7,5,2,11
2014/1/13,豐原,RAINFALL,NR,NR,NR,NR,NR,NR
2014/1/13,豐原,RH,82,81,81,82,79,74
2014/1/13,豐原,SO2,0.9,0.8,0.8,0.9,0.9,1
2014/1/13,豐原,THC,1.8,1.8,1.8,1.9,1.9,1.9
2014/1/13,豐原,WD_HR,72,74,69,82,76,75
2014/1/13,豐原,WIND_DIREC,73,66,69,88,67,106
2014/1/13,豐原,WIND_SPEED,2.1,2.6,1.6,2.5,2.3,2.5
2014/1/13,豐原,WS_HR,0.4,1,0.4,0.5,1.1,0.3
2014/1/14,豐原,AMB_TEMP,14,14,13,13,14,14
2014/1/14,豐原,CH4,1.8,1.8,1.8,1.8,1.8,1.8
2014/1/14,豐原,CO,0.27,0.26,0.26,0.28,0.26,0.28
2014/1/14,豐原,NMHC,0.06,0.1,0.06,0.06,0.05,0.09
2014/1/14,豐原,NO,0.6,0.6,0.9,1,1.3,1.9
2014/1/14,豐原,NO2,6.4,5.2,5.3,6.1,4.5,6.8
2014/1/14,豐原,NOx,7,5.8,6.2,7.1,5.8,8.6
2014/1/14,豐原,O3,32,35,37,37,37,35
2014/1/14,豐原,PM10,36,37,40,36,38,43
2014/1/14,豐原,PM2.5,30,26,26,26,23,16
2014/1/14,豐原,RAINFALL,NR,NR,NR,NR,NR,NR
2014/1/14,豐原,RH,85,85,84,82,77,73
2014/1/14,豐原,SO2,6.3,6,6,5.9,5.6,5.5
2014/1/14,豐原,THC,1.8,1.9,1.8,1.8,1.8,1.9
2014/1/14,豐原,WD_HR,87,95,84,64,59,79
2014/1/14,豐原,WIND_DIREC,81,102,97,55,55,89
2014/1/14,豐原,WIND_SPEED,2.4,3.4,2.3,5.4,4.2,2.9
2014/1/14,豐原,WS_HR,1.4,0.6,1.4,3.4,3.9,1.6
2014/1/15,豐原,AMB_TEMP,11,10,11,11,12,14
2014/1/15,豐原,CH4,1.7,1.8,1.7,1.7,1.7,1.7
2014/1/15,豐原,CO,0.19,0.21,0.21,0.29,0.2,0.19
2014/1/15,豐原,NMHC,0.05,0.05,0.04,0.09,0.04,0.05
2014/1/15,豐原,NO,0.5,0.6,0.4,1.1,1.2,1.2
2014/1/15,豐原,NO2,2.2,4,4.4,7.3,3.3,3.2
2014/1/15,豐原,NOx,2.6,4.6,4.8,8.5,4.5,4.4
2014/1/15,豐原,O3,38,34,36,33,38,38
2014/1/15,豐原,PM10,19,20,21,33,41,43
2014/1/15,豐原,PM2.5,14,11,13,4,9,15
2014/1/15,豐原,RAINFALL,NR,NR,NR,NR,NR,NR
2014/1/15,豐原,RH,66,69,67,65,54,45
2014/1/15,豐原,SO2,0.9,1.1,1.3,1,0.8,0.9
2014/1/15,豐原,THC,1.8,1.8,1.8,1.8,1.8,1.8
2014/1/15,豐原,WD_HR,63,56,54,65,58,58
2014/1/15,豐原,WIND_DIREC,71,47,57,61,51,62
2014/1/15,豐原,WIND_SPEED,1.6,1.9,2.5,4.9,2.5,2.2
2014/1/15,豐原,WS_HR,1.8,1.1,2.4,1.9,2.8,1.6
2014/1/16,豐原,AMB_TEMP,12,12,12,12,13,15
2014/1/16,豐原,CH4,1.8,1.8,1.8,1.8,1.8,1.7
2014/1/16,豐原,CO,0.25,0.28,0.32,0.63,0.64,0.28
2014/1/16,豐原,NMHC,0.13,0.14,0.17,0.29,0.28,0.18
2014/1/16,豐原,NO,0.9,0.8,1.1,11,16,3.5
2014/1/16,豐原,NO2,5.9,9,14,23,21,7.3
2014/1/16,豐原,NOx,6.8,9.7,16,34,36,11
2014/1/16,豐原,O3,20,16,12,5.9,11,30
2014/1/16,豐原,PM10,12,10,10,23,27,32
2014/1/16,豐原,PM2.5,6,5,2,17,15,33
2014/1/16,豐原,RAINFALL,NR,NR,NR,NR,NR,NR
2014/1/16,豐原,RH,69,68,65,61,57,52
2014/1/16,豐原,SO2,1.6,1.5,1.5,2,3.1,1.8
2014/1/16,豐原,THC,1.9,1.9,1.9,2.1,2,1.9
2014/1/16,豐原,WD_HR,38,44,48,1.6,52,328
2014/1/16,豐原,WIND_DIREC,39,32,48,353,82,304
2014/1/16,豐原,WIND_SPEED,1.2,0.7,1.4,0.9,1.6,2.9
2014/1/16,豐原,WS_HR,0.9,0.6,0.7,0.3,1.2,0.9
2014/1/17,豐原,AMB_TEMP,12,12,12,13,15,17
2014/1/17,豐原,CH4,1.7,1.7,1.7,1.7,1.8,1.8
2014/1/17,豐原,CO,0.25,0.26,0.3,0.5,2.61,1.22
2014/1/17,豐原,NMHC,0.09,0.12,0.1,0.17,0.55,0.52
2014/1/17,豐原,NO,0.9,0.9,1.1,3.2,22,14
2014/1/17,豐原,NO2,4.5,5.1,6.6,12,30,32
2014/1/17,豐原,NOx,5.3,6,7.7,15,52,46
2014/1/17,豐原,O3,35,31,27,20,11,26
2014/1/17,豐原,PM10,20,25,22,31,22,50
2014/1/17,豐原,PM2.5,22,22,23,11,2,18
2014/1/17,豐原,RAINFALL,NR,NR,NR,NR,NR,NR
2014/1/17,豐原,RH,74,73,71,65,61,51
2014/1/17,豐原,SO2,1.6,1.5,1.3,1.4,5.6,5.4
2014/1/17,豐原,THC,1.8,1.9,1.8,1.9,2.4,2.3
2014/1/17,豐原,WD_HR,104,96,101,106,82,329
2014/1/17,豐原,WIND_DIREC,106,103,92,96,49,335
2014/1/17,豐原,WIND_SPEED,1.6,1.7,2.1,1.4,0.8,0.9
2014/1/17,豐原,WS_HR,1.6,1.5,2,1.3,0.3,0.4
2014/1/18,豐原,AMB_TEMP,13,13,12,12,13,15
2014/1/18,豐原,CH4,1.7,1.7,1.7,1.7,1.7,1.7
2014/1/18,豐原,CO,0.16,0.15,0.19,0.26,0.21,0.21
2014/1/18,豐原,NMHC,0.03,0.03,0.06,0.06,0.05,0.07
2014/1/18,豐原,NO,1.4,1.1,1.2,1.8,1.7,1.9
2014/1/18,豐原,NO2,2,2.1,4,8.5,3.6,3.8
2014/1/18,豐原,NOx,3.4,3.2,5.2,10,5.2,5.8
2014/1/18,豐原,O3,40,40,34,31,38,43
2014/1/18,豐原,PM10,15,20,11,20,20,30
2014/1/18,豐原,PM2.5,10,7,11,16,19,9
2014/1/18,豐原,RAINFALL,NR,NR,NR,NR,NR,NR
2014/1/18,豐原,RH,60,54,60,59,55,48
2014/1/18,豐原,SO2,1.2,1.2,1.2,1.2,1.4,1.9
2014/1/18,豐原,THC,1.8,1.8,1.8,1.8,1.8,1.8
2014/1/18,豐原,WD_HR,64,64,61,64,58,79
2014/1/18,豐原,WIND_DIREC,62,80,55,56,73,85
2014/1/18,豐原,WIND_SPEED,3.2,1.8,3.8,3.2,2.2,2.8
2014/1/18,豐原,WS_HR,1.5,2.3,1.5,1.5,2,0.6
2014/1/19,豐原,AMB_TEMP,9.7,10,10,10,12,14
2014/1/19,豐原,CH4,1.8,1.8,1.7,1.7,1.8,1.8
2014/1/19,豐原,CO,0.33,0.29,0.25,0.4,0.8,0.87
2014/1/19,豐原,NMHC,0.07,0.06,0.05,0.13,0.33,0.31
2014/1/19,豐原,NO,1,0.8,0.9,1.8,13,12
2014/1/19,豐原,NO2,3.4,3.2,3.4,11,25,28
2014/1/19,豐原,NOx,4.4,4,4.3,13,38,40
2014/1/19,豐原,O3,40,42,37,22,11,20
2014/1/19,豐原,PM10,41,43,38,22,18,29
2014/1/19,豐原,PM2.5,46,48,38,21,11,11
2014/1/19,豐原,RAINFALL,NR,NR,NR,NR,NR,NR
2014/1/19,豐原,RH,51,47,45,47,47,40
2014/1/19,豐原,SO2,2.7,2.6,2.1,1.8,4.4,5.1
2014/1/19,豐原,THC,1.9,1.8,1.8,1.9,2.1,2.1
2014/1/19,豐原,WD_HR,62,59,62,68,286,253
2014/1/19,豐原,WIND_DIREC,63,54,70,344,270,232
2014/1/19,豐原,WIND_SPEED,1.7,2.2,1.6,0.6,0.7,1.7
2014/1/19,豐原,WS_HR,1.3,1.8,2,0.7,0.5,0.8
2014/1/20,豐原,AMB_TEMP,12,11,10,10,12,15
2014/1/20,豐原,CH4,1.9,1.8,1.8,1.8,1.8,1.8
2014/1/20,豐原,CO,0.49,0.48,0.5,0.64,0.71,0.48
2014/1/20,豐原,NMHC,0.13,0.11,0.11,0.16,0.17,0.11
2014/1/20,豐原,NO,1,1,0.9,2.8,4.2,3.7
2014/1/20,豐原,NO2,11,9.3,9.3,12,15,16
2014/1/20,豐原,NOx,12,10,10,14,20,19
2014/1/20,豐原,O3,25,23,24,20,25,38
2014/1/20,豐原,PM10,70,84,90,90,94,90
2014/1/20,豐原,PM2.5,53,60,66,53,55,57
2014/1/20,豐原,RAINFALL,NR,NR,NR,NR,NR,NR
2014/1/20,豐原,RH,78,80,81,80,77,65
2014/1/20,豐原,SO2,3,2.4,2.2,2.1,3.3,7.5
2014/1/20,豐原,THC,2,1.9,1.9,2,2,1.9
2014/1/20,豐原,WD_HR,110,119,114,110,80,354
2014/1/20,豐原,WIND_DIREC,118,118,112,114,49,314
2014/1/20,豐原,WIND_SPEED,2.1,2.4,2.1,2.3,1.5,1.9
2014/1/20,豐原,WS_HR,1.4,2.1,2.3,2.1,1.1,0.6
2014/2/1,豐原,AMB_TEMP,14,14,14,14,16,20
2014/2/1,豐原,CH4,1.7,1.7,1.7,1.7,1.8,1.8
2014/2/1,豐原,CO,0.24,0.23,0.26,0.45,0.76,0.56
2014/2/1,豐原,NMHC,0.05,0.05,0.05,0.13,0.22,0.16
2014/2/1,豐原,NO,1.3,1.2,1.4,2.2,4.2,4.3
2014/2/1,豐原,NO2,2.8,2.7,3.3,9.1,16,14
2014/2/1,豐原,NOx,4.1,3.9,4.7,11,20,18
2014/2/1,豐原,O3,41,41,41,31,28,42
2014/2/1,豐原,PM10,20,16,8,8,18,29
2014/2/1,豐原,PM2.5,16,10,23,27,33,21
2014/2/1,豐原,RAINFALL,NR,NR,NR,NR,NR,NR
2014/2/1,豐原,RH,63,60,57,58,56,44
2014/2/1,豐原,SO2,0.8,0.9,1,1.1,1.6,1.9
2014/2/1,豐原,THC,1.8,1.8,1.8,1.9,2,1.9
2014/2/1,豐原,WD_HR,108,101,97,87,90,292
2014/2/1,豐原,WIND_DIREC,105,80,82,89,47,293
2014/2/1,豐原,WIND_SPEED,2.5,1.4,1.2,0.7,0.6,1.1
2014/2/1,豐原,WS_HR,1.8,1.7,1.3,0.8,0.4,0.5
2014/2/2,豐原,AMB_TEMP,18,18,17,18,21,24
2014/2/2,豐原,CH4,1.8,1.7,1.7,1.7,1.7,1.7
2014/2/2,豐原,CO,0.27,0.25,0.28,0.36,0.43,0.24
2014/2/2,豐原,NMHC,0.1,0.09,0.1,0.11,0.13,0.04
2014/2/2,豐原,NO,0.7,0.5,0.8,1.3,3,0.9
2014/2/2,豐原,NO2,7.4,6.6,8.6,9.4,12,2.9
2014/2/2,豐原,NOx,8.1,7,9.4,11,15,3.9
2014/2/2,豐原,O3,26,28,22,28,30,50
2014/2/2,豐原,PM10,9,9,19,17,26,22
2014/2/2,豐原,PM2.5,15,13,22,19,23,15
2014/2/2,豐原,RAINFALL,NR,NR,NR,NR,NR,NR
2014/2/2,豐原,RH,63,63,64,59,52,41
2014/2/2,豐原,SO2,1.3,1.3,1.4,1.6,2.2,2
2014/2/2,豐原,THC,1.9,1.8,1.8,1.8,1.8,1.7
2014/2/2,豐原,WD_HR,60,72,59,72,54,49
2014/2/2,豐原,WIND_DIREC,52,34,62,47,53,2.6
2014/2/2,豐原,WIND_SPEED,1.1,0.9,1.4,1.1,1.6,1.5
2014/2/2,豐原,WS_HR,0.6,0.8,1,1,1.1,0.8
2014/2/3,豐原,AMB_TEMP,19,18,18,19,21,23
2014/2/3,豐原,CH4,1.7,1.7,1.7,1.7,1.7,1.7
2014/2/3,豐原,CO,0.36,0.35,0.32,0.45,0.44,0.4
2014/2/3,豐原,NMHC,0.07,0.06,0.07,0.1,0.09,0.07
2014/2/3,豐原,NO,1.8,2,2,4.7,6.1,5.6
2014/2/3,豐原,NO2,8.8,9.2,9.1,9,10,11
2014/2/3,豐原,NOx,11,11,11,14,16,17
2014/2/3,豐原,O3,11,10,11,8.6,17,25
2014/2/3,豐原,PM10,35,10,2,11,22,43
2014/2/3,豐原,PM2.5,18,29,22,21,23,34
2014/2/3,豐原,RAINFALL,NR,NR,NR,NR,NR,NR
2014/2/3,豐原,RH,85,86,86,87,79,70
2014/2/3,豐原,SO2,1.9,1.7,2.7,2.5,5.5,8.8
