id,value,value,value,6.2,4000,3500,value,10000¦¸,value,value
id_58,50.1116,32.4861,31.8934,30.6166,30,33,31,31.9384,32.469,32.469
id_59,17.0088,37.4254,38.4254,37.0422,37,40,38,37.8204,38.7566,38.7566
id_60,17.9914,15.4751,17.2572,18.651,19,18,18,17.111,16.5017,16.5017
id_61,10.1619,22.7284,18.2492,15.9376,16,19,18,18.6505,19.1896,19.1896
id_62,13.9603,36.9755,37.6511,35.5654,36,41,38,37.4611,37.3158,37.3158
id_63,23.9997,54.1897,55.7771,60.0661,60,59,56,55.5525,53.9692,53.9692
id_64,23.2859,45.1854,45.1409,42.3233,42,44,44,44.7291,44.5839,44.5839
id_65,38.1339,27.9207,28.907,27.6491,27,28,29,28.8193,28.8829,28.8829
id_66,0,36.8162,35.2813,35.8047,36,32,34,33.3583,35.0081,35.0081
id_67,23.983,51.7764,50.2038,48.5519,48,50,50,50.1145,49.9809,49.9809
id_68,50.0668,35.8369,37.1438,35.5765,36,35,37,37.3023,36.7859,36.7859
id_69,40.5384,38.1106,36.4344,37.7053,37,35,36,35.4096,36.4123,36.4123
id_70,19.0615,67.1718,67.5938,62.4724,63,68,67,66.958,66.8005,66.8005
id_71,62.7608,55.8807,55.9657,55.1168,55,57,56,56.069,56.5562,56.5562
id_72,16.7173,43.0754,43.8541,44.3606,45,46,45,44.4437,42.9597,42.9597
id_73,36.9957,16.1092,17.1342,15.6123,16,16,17,17.2953,17.4614,17.4614
id_74,20.5676,11.8346,10.2979,11.6409,11,9,10,10.8118,10.8686,10.8686
id_75,18.178,30.6603,29.0905,34.6997,35,30,29,29.0902,29.591,29.591
id_76,4.09421,70.4431,69.9854,68.5763,69,70,71,70.637,70.3136,70.3136
id_77,67.5664,-2.53416,0,0,0,0,0,0,0,0
id_78,13.748,37.4549,37.7569,39.5679,39,37,37,37.6817,37.8139,37.8139
id_79,20.3046,41.2933,42.6079,42.2383,42,44,42,42.1126,42.4565,42.4565
id_80,13.5784,7.59702,7.53525,6.35454,6,7,8,7.61075,7.93143,7.93143
id_81,73.4548,24.2919,23.8357,25.6948,26,25,24,23.6203,23.9259,23.9259
id_82,23.0977,8.53279,9.10421,14.9629,15,11,8,9.25481,7.88876,7.88876
id_83,0,27.4962,29.7354,26.6165,26,29,29,29.3197,29.5837,29.5837
id_84,22.7305,10.8068,6.99264,5.60573,5,5,7,7.34516,8.04761,8.04761
id_85,1.39714,4.03398,3.43137,6.09217,6,3,4,4.919,3.81767,3.81767
id_86,4.71617,15.3065,17.5396,19.4544,20,18,17,17.6156,16.9822,16.9822
id_87,15.2226,14.3872,11.7039,10.0792,10,10,11,11.939,11.9472,11.9472
id_88,18.7119,19.2449,22.8552,24.0474,23,21,23,23.085,24.1734,24.1734
id_89,19.6477,19.5128,42.4734,100.293,101,64,45,35.6099,30.4512,30.4512
id_90,21.2655,37.6329,39.1074,42.3178,42,40,39,39.0026,39.1795,39.1795
id_91,46.2432,14.5469,14.7917,14.7858,15,16,15,15.0492,14.392,14.392
id_92,32.0871,9.17605,5.51529,5.21773,5,3,6,6.6506,6.63689,6.63689
id_93,30.0078,13.0741,15.243,14.5554,15,15,15,15.538,15.8884,15.8884
id_94,14.0257,37.3983,36.078,39.0129,39,38,36,35.3297,35.8974,35.8974
id_95,9.0946,15.9004,18.2521,17.8037,18,20,18,18.4555,17.4856,17.4856
id_96,42.766,14.4239,14.3236,16.8725,17,16,15,15.4105,15.2549,15.2549
id_97,39.2167,8.80009,6.29295,6.70317,7,7,6,6.32087,6.08375,6.08375
id_98,32.3164,12.3357,12.0441,13.761,14,13,12,12.1567,11.7263,11.7263
id_99,13.9873,1.06245,0,1.42835,2,0,1,0.442417,0,0
id_100,24.266,9.71766,7.38932,5.93066,6,3,7,7.2365,7.58239,7.58239
id_101,18.9844,20.2425,19.9716,17.1801,17,21,19,18.6778,19.5388,19.5388
id_102,13.7376,9.61962,6.0868,8.90883,9,4,6,6.42827,6.43683,6.43683
id_103,14.8536,8.99524,11.8236,13.6568,14,13,12,11.8983,11.6081,11.6081
id_104,33.7077,13.2688,14.2066,13.3129,13,14,14,14.0594,13.8335,13.8335
id_105,65.6033,39.1465,40.2705,39.3879,40,40,40,39.1687,39.3608,39.3608
id_106,28.122,20.9069,17.2818,21.74,22,18,17,16.2734,16.4797,16.4797
id_107,15.413,8.83939,6.23254,6.98217,7,5,6,6.5401,6.66217,6.66217
id_108,65.4389,17.3118,13.5361,9.9086,10,11,13,13.4338,14.5133,14.5133
id_109,14.2978,16.5248,18.5724,18.1823,18,18,18,18.591,18.33,18.33
id_110,19.3255,13.7073,15.3482,14.5289,14,15,14,14.9315,14.1176,14.1176
id_111,15.6827,9.14059,8.52236,13.9781,14,9,9,8.25462,7.99594,7.99594
id_112,14.2396,15.8747,13.4403,12.661,13,13,13,12.6373,13.6916,13.6916
id_113,13.3036,25.0006,24.3881,29.2191,29,25,26,24.8277,24.4168,24.4168
id_114,125.261,19.0716,16.4341,26.4575,27,17,16,17.2533,16.3032,16.3032
id_115,26.2311,16.4928,15.4147,16.0033,16,15,16,15.4746,14.9324,14.9324
id_116,54.5154,6.96609,3.22876,9.09211,9,1,4,5.17563,4.75555,4.75555
id_117,3.58366,44.9382,45.428,47.0644,47,48,45,44.0736,43.6415,43.6415
id_118,62.7141,30.2955,29.0446,25.7348,26,31,29,27.9909,27.5985,27.5985
id_119,37.8307,-0.0993894,0,0,0,0,0,0,0,0
id_120,14.4949,6.21416,10.3318,11.2409,12,22,10,10.0286,7.13598,7.13598
id_121,10.7321,14.1117,17.3188,16.9153,17,20,18,16.8248,15.6237,15.6237
id_122,64.8152,11.4484,7.45429,8.27695,8,6,8,8.80574,8.4177,8.4177
id_123,14.5099,11.323,9.52561,11.8994,12,11,10,9.91295,9.41375,9.41375
id_124,35.8094,4.61402,0.493561,1.49177,1,0,1,1.32867,1.45466,1.45466
id_125,27.086,27.8187,26.4387,26.2936,26,25,26,26.9547,26.8311,26.8311
id_126,71.0071,24.8892,22.6752,18.614,18,21,23,22.9072,24.4685,24.4685
id_127,16.821,12.0506,10.8752,13.2139,13,12,12,12.0192,10.8865,10.8865
id_128,106.808,19.5326,19.7708,22.3596,22,21,19,19.3808,18.5637,18.5637
id_129,44.8709,14.31,12.5707,15.211,15,13,13,12.2882,11.9937,11.9937
id_130,77.5007,5.44654,5.11305,25.9898,26,9,3,0,0,0
id_131,89.5919,36.0555,36.6946,34.4364,34,36,36,36.2106,35.8236,35.8236
id_132,71.4146,12.2633,14.9539,21.2284,22,16,15,14.0735,14.3841,14.3841
id_133,37.6537,17.8918,20.6077,15.2268,15,13,17,18.9441,17.4623,17.4623
id_134,19.2635,29.436,27.05,27.4549,28,27,27,27.6895,27.7452,27.7452
id_135,35.9716,25.296,25.9781,24.4336,25,24,25,25.7982,26.5032,26.5032
id_136,33.4878,11.4299,8.87131,8.01986,8,7,8,9.05178,9.5863,9.5863
id_137,53.1224,18.3318,16.4367,17.886,18,16,17,17.2684,17.4909,17.4909
id_138,25.4307,76.6549,73.1366,73.491,73,74,73,72.8059,74.745,74.745
id_139,36.9843,61.8774,56.7555,52.1432,52,55,57,57.0567,58.9776,58.9776
id_140,41.7109,28.7254,27.2468,19.7796,20,25,26,26.6074,27.7842,27.7842
id_141,6.14761,15.8134,14.0771,16.8721,17,14,14,14.4922,14.5749,14.5749
id_142,8.33068,25.7184,25.4688,26.1792,26,25,26,25.6785,25.3136,25.3136
id_143,96.0204,5.2405,4.83891,7.18181,7,4,5,5.12439,5.72777,5.72777
id_144,29.972,13.2586,12.8455,14.9319,15,12,13,14.254,13.4531,13.4531
id_145,3.02741,6.95947,6.42671,6.61517,7,7,6,6.54201,6.4403,6.4403
id_146,7.431,19.5568,14.3989,14.334,14,23,15,14.9491,15.0049,15.0049
id_147,38.0245,4.6295,3.66709,4.57893,5,4,4,3.72897,3.81765,3.81765
id_148,13.0321,13.7308,15.1785,13.7558,14,18,15,14.4736,14.1659,14.1659
id_149,20.5522,17.0879,17.2329,13.3041,14,19,16,15.5055,15.3112,15.3112
id_150,11.7669,50.7327,51.7874,50.5272,51,53,52,50.4832,50.9468,50.9468
id_151,0,16.6385,14.6691,19.0344,19,21,16,15.8538,13.961,13.961
id_152,25.2556,18.19,16.3345,18.0588,18,16,16,16.2933,15.8795,15.8795
id_153,12.012,12.3182,11.2574,9.89295,10,10,12,11.6505,11.7097,11.7097
id_154,8.41096,14.5608,14.944,15.323,15,18,16,14.5417,15.3935,15.3935
id_155,22.9342,27.9196,26.1543,24.6111,25,30,26,24.6842,25.9835,25.9835
id_156,9.45864,26.0979,24.4311,24.1486,24,26,25,24.6163,24.4054,24.4054
id_157,56.7227,37.2109,38.2206,38.5443,39,39,38,38.2922,38.2427,38.2427
id_158,49.4048,-2.34892,0,0,0,0,0,0,0,0
id_159,25.4108,27.6153,26.8736,24.4158,24,28,27,26.3911,27.3542,27.3542
id_160,2.08335,45.0722,42.4782,41.5479,41,43,42,41.4621,42.5861,42.5861
id_161,26.4206,20.2568,19.568,18.5988,18,19,19,19.5389,19.6476,19.6476
id_162,36.891,63.9039,62.0779,63.6054,64,63,62,61.6465,61.9012,61.9012
id_163,27.3401,15.6564,15.5121,16.4196,17,15,15,15.8588,15.3993,15.3993
id_164,20.242,32.5866,34.1866,36.5346,37,34,34,34.6906,34.1833,34.1833
id_165,11.9807,22.4718,19.3157,20.0892,20,17,18,18.8459,19.634,19.634
id_166,16.4961,18.6867,16.3692,21.0105,21,22,18,16.9789,17.0267,17.0267
id_167,8.37722,-1.00157,0.228418,4.98796,5,6,0,0.701659,0.170928,0.170928
id_168,17.9982,67.5256,66.7745,67.262,67,70,68,67.3145,68.3866,68.3866
id_169,38.3234,9.06944,9.6385,13.9706,14,10,10,10.2901,9.79747,9.79747
id_170,23.8538,13.4434,12.4869,12.3701,12,11,12,13.2985,12.6978,12.6978
id_171,27.0254,77.6043,76.2622,73.4289,74,78,76,75.8091,77.4746,77.4746
id_172,14.1416,24.3762,20.9013,23.0605,23,20,21,21.1646,21.1092,21.1092
id_173,67.4877,-0.0877504,0,0,0,0,0,0,0,0
id_174,11.4976,23.7325,23.3934,21.5315,21,18,21,22.2473,21.4536,21.4536
id_175,49.9319,0.504563,0.802398,0.768053,1,2,1,1.87858,1.26456,1.26456
id_176,18.6396,7.00182,6.4959,4.64684,4,6,6,7.01069,6.98293,6.98293
id_177,53.8492,12.414,11.8667,16.6844,17,12,12,11.3167,11.0308,11.0308
id_178,18.6331,18.0708,15.2944,16.9885,17,11,15,15.1645,16.0043,16.0043
id_179,46.3067,22.8829,19.2804,18.6055,18,17,19,18.3505,18.9402,18.9402
id_180,42.7189,46.6875,47.4085,45.5618,46,46,46,46.5963,47.1079,47.1079
id_181,60.1223,34.3265,33.6967,32.4036,32,34,34,33.9778,36.0283,36.0283
id_182,40.7193,30.2976,29.1207,28.0633,28,25,28,28.6232,29.08,29.08
id_183,53.9604,11.6642,11.0034,13.3841,13,9,11,11.3274,11.9733,11.9733
id_184,46.8247,9.0544,8.38498,8.90391,9,8,8,8.20171,8.37961,8.37961
id_185,35.8617,43.5614,43.7,42.6902,43,43,43,43.5967,43.4938,43.4938
id_186,30.1119,34.4046,35.9013,38.7919,39,37,36,36.1627,35.8765,35.8765
id_187,21.9455,37.0133,36.6947,33.077,33,38,36,35.7324,36.3305,36.3305
id_188,39.82,12.3778,11.2702,14.4402,14,10,11,11.0507,11.6007,11.6007
id_189,21.3448,27.5799,26.3756,23.9478,24,26,26,26.0927,26.559,26.559
id_190,36.1358,16.0364,14.9829,13.4014,13,14,15,15.278,15.2142,15.2142
id_191,43.0693,12.1833,12.6695,15.2136,15,14,13,12.9009,12.1364,12.1364
id_192,27.8098,32.7297,33.8382,33.5671,34,34,33,33.5285,32.6664,32.6664
id_193,19.6363,67.6567,64.2872,63.9988,63,63,63,64.4066,65.2424,65.2424
id_194,29.8022,34.5225,32.4286,27.7713,28,32,32,32.7474,33.6547,33.6547
id_195,37.2338,17.5246,17.6964,15.5581,16,19,18,17.1416,17.0676,17.0676
id_196,36.8162,65.7026,64.5714,66.3048,66,71,67,64.8879,64.7521,64.7521
id_197,18.1725,13.6161,13.9664,13.8542,14,13,13,14.3633,14.6545,14.6545
id_198,16.164,19.9236,18.977,19.3118,19,18,19,19.2196,19.2857,19.2857
id_199,35.058,16.5988,13.3968,15.0742,15,13,14,13.8231,13.9991,13.9991
id_200,59.1185,129.932,130.391,126.214,126,132,129,128.691,129.503,129.503
id_201,42.9375,26.0363,25.6763,27.088,27,29,26,25.6833,25.3627,25.3627
id_202,27.5232,59.5728,59.7869,54.496,54,60,59,58.7635,59.573,59.573
id_203,36.6939,5.74111,4.90749,3.2137,3,4,5,5.4771,4.87406,4.87406
id_204,48.5969,61.5298,61.5046,63.4892,63,65,61,60.5402,60.5745,60.5745
id_205,36.4115,39.3143,38.9679,38.2385,38,39,38,38.0869,37.9028,37.9028
id_206,38.0618,15.4927,15.4568,14.5553,15,16,15,15.3948,15.1553,15.1553
id_207,16.9781,11.2998,12.615,9.28205,9,12,12,12.2571,12.409,12.409
id_208,62.3913,62.71,65.3099,65.2709,65,68,63,62.3884,62.2807,62.2807
id_209,54.3166,17.4816,17.4431,14.8379,15,18,17,16.909,16.7239,16.7239
id_210,44.3445,27.947,26.4284,26.0801,26,26,26,27.5137,28.9878,28.9878
id_211,15.3388,66.7834,68.3985,70.7009,71,69,68,67.8296,66.6452,66.6452
id_212,12.1017,19.2506,18.5034,16.0647,16,16,18,18.8428,18.5475,18.5475
id_213,34.1552,106.19,105.274,106.136,106,104,105,106.078,107.065,107.065
id_214,69.0117,45.2772,46.022,45.2,45,48,46,45.1932,45.6743,45.6743
id_215,0,75.7544,77.1308,78.3339,78,79,77,76.4307,75.9486,75.9486
id_216,39.7241,100.925,100.773,88.8202,88,99,100,98.0031,99.9462,99.9462
id_217,42.3562,70.7681,71.0648,71.4052,71,73,72,71.4407,71.5925,71.5925
id_218,49.5064,33.9184,33.4131,38.8778,39,36,34,34.1864,35.1984,35.1984
id_219,6.66358,21.8972,20.4272,17.9361,18,17,20,21.6629,22.2361,22.2361
id_220,24.7575,33.6133,32.3814,32.6752,33,31,33,32.4928,32.4355,32.4355
id_221,14.1191,52.3121,50.3452,54.9511,55,53,51,50.97,50.5612,50.5612
id_222,27.404,25.2249,26.1919,26.0916,26,28,26,26.1953,26.1421,26.1421
id_223,6.27183,36.4179,35.7469,37.1769,37,36,36,35.7053,35.2536,35.2536
id_224,5.87394,44.7025,41.2952,41.2558,41,39,41,42.4772,42.7072,42.7072
id_225,19.3987,6.51797,5.34992,6.02021,6,5,5,4.89948,5.40819,5.40819
id_226,10.8491,8.54793,6.22087,6.74773,7,3,6,7.12275,7.36132,7.36132
id_227,24.1461,92.3838,94.3811,95.7394,97,98,96,94.1776,94.6803,94.6803
id_228,81.9884,33.7269,29.0273,30.1828,30,29,29,29.8144,30.0399,30.0399
id_229,31.8681,7.92691,8.30817,3.22275,3,9,8,8.11169,8.36994,8.36994
id_230,41.6277,33.3746,32.6843,39.0447,39,35,34,32.6121,31.6633,31.6633
id_231,14.7673,11.1124,8.78792,13.2681,13,8,8,7.75652,8.25859,8.25859
id_232,6.17303,17.5469,16.0049,20.7204,21,17,16,16.3201,16.2664,16.2664
id_233,14.6179,13.6734,14.6268,11.5583,12,13,14,14.3577,13.7884,13.7884
id_234,38.6821,0.4242,0,0,0,0,0,0,0,0
id_235,18.1328,25.9339,27.4568,25.8888,26,30,26,26.3261,26.7658,26.7658
id_236,17.2022,12.888,11.1294,11.3324,11,8,11,11.4943,11.961,11.961
id_237,5.99381,7.96883,7.81973,8.79106,9,8,8,8.23692,7.62014,7.62014
id_238,13.3192,24.14,23.9817,22.2764,22,22,24,24.9643,25.1647,25.1647
id_239,2.88342,13.0061,8.64926,7.97009,8,5,9,10.3856,10.8612,10.8612
